"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1758",299.135858154297,299.156869992343,299.225241990523,299.731910497492,299.012308987704,299.177555292303,298.599643360485,299.133450941606,298.817179523815,299.496451568604,300.549303297563,300.22754537409,300.021903298118,300.153229730779,299.740865950151,299.212212510542,300.554365054044,298.681425822865,299.193872694536,299.398412669789
"1759",298.892316228693,298.505546916615,298.895062880083,299.934213534268,299.2635196339,298.522985284979,298.584767012163,299.036768410423,298.956285095215,298.983671985973,300.326649128307,300.049001312256,299.509592160312,299.956406471946,299.733414875377,298.966421786222,300.611863708496,298.721670601585,298.756207483465,298.741519789262
"1760",297.568916043368,297.156055381081,298.261653275923,299.658320895108,298.458378393,297.697015866366,297.989724107222,298.030643601851,298.362474129417,297.963453674316,300.048224639893,300.23067259355,298.471371321245,299.447058868408,299.203595386852,298.242559606379,300.477295823531,297.898699604381,298.186668187922,297.62163550637
"1761",296.912545637651,296.334035769376,297.450067624179,299.476232840798,297.883652981845,296.918803336404,296.978060427579,297.159551030939,297.619970286976,297.179903342507,299.520878601074,299.967136799205,297.011967190829,298.294259851629,298.51781241677,297.671687733043,299.659518016468,296.934863142534,297.047472659024,296.974953807484
"1762",296.229920473966,296.079280575839,296.901686997847,299.081670657071,297.351556743275,296.605750621449,296.441431080211,296.570250771262,297.058642370051,296.933654022217,299.208701116389,300.075859763406,297.042114812678,297.695134943182,298.311767370051,296.893524586071,299.587979542125,296.578516110507,296.265569790927,296.23461449363
"1763",296.393775870583,296.173819385875,296.880692083185,299.706459669633,297.503917971524,296.836527182839,296.8704016252,296.874567968195,297.654050722989,297.02810939442,299.162200372869,300.484802454168,297.349145438454,297.55598449707,298.201582405784,296.831415141713,299.98237027255,296.454217321222,296.140626456521,296.376103210449
"1764",296.5814883839,296.456098313765,297.188905681263,300.214209816673,297.334237948331,297.049846718528,296.850022194602,296.907386363636,297.972986047918,297.392357635498,300.133920634877,300.741079711914,297.495269151167,298.274419472434,299.026452706077,297.357240988991,300.395268249512,296.548850319602,296.654883298007,296.593202972412
"1765",296.706986375289,296.507431238348,297.813154324618,300.466227375377,297.348163604736,297.288898953524,296.85415503762,297.228271900524,298.155713653564,297.712545082786,300.264981703325,300.541658921675,297.522402815385,298.261573167281,299.706082292037,297.549532595548,300.549374250932,296.616306790439,296.960864535245,296.842494271018
"1766",297.34534925981,296.818768518621,297.963264257258,300.50204856179,297.796239818226,297.761914756081,297.205701030384,297.322855238481,298.78243151578,297.747834777832,300.279454179244,300.298900118741,297.574470450661,298.546736006303,299.734348505194,297.975108268044,300.63141895641,296.791335920854,297.165708784624,297.238063188033
"1767",297.922774991122,297.666640888561,298.481131675027,300.114235756614,298.215144625577,298.043143879284,298.170680306175,298.327392439409,299.343469515714,298.211411424117,300.219178563898,300.065200389515,297.478594207764,298.790721061013,299.877512428977,298.320754935525,300.389863655784,297.459996102073,297.809777762673,297.870059065385
