"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"16",298.371859186346,298.773728457364,299.285448941317,298.3015885093,298.92900279652,299.292804579301,298.211186218262,298.505290291526,299.564530528675,298.57751825506,298.878083523837,298.119852100719,299.229434897683,298.089503479004,298.433770474521,299.353778284246,298.271410924738,298.673671653054,298.077316353538,298.804469507391
"17",298.860210002552,299.174206959118,299.751564511386,298.737754474987,299.431927559593,299.625008877841,298.615346319025,299.356261027943,299.976041134921,299.015194979581,299.377845833518,298.891585887562,299.452610640092,298.729062305797,299.366699426824,299.812830699574,298.869092421098,299.231652623957,299.153733548251,299.382275459983
"18",299.395921672474,298.941813867742,299.994196874445,299.142015907981,299.790796106512,300.000900892778,299.05591916171,299.613435641202,300.104792785645,299.427314966375,299.781070847945,299.240830924294,299.601403253729,299.103164117987,299.653024777499,300.034573849765,299.391086439653,299.829908613725,299.547486669367,299.818731273304
"19",299.180039076372,297.9959615534,299.97688924616,298.841661626642,299.587926829945,300.198557697643,298.731274691495,299.55613042658,300.211703491211,299.184323120117,299.822650701349,299.035769237172,299.18339656483,299.07055906816,299.641724673184,299.771001503684,299.530855352228,299.781461819735,299.242335579612,299.47002584284
"20",298.577866086093,297.128294996782,298.869136949019,297.700879877264,298.724552431974,299.650127480247,298.078072565252,299.016962987726,300.066091988303,298.553371637518,298.936513241855,298.214421428334,298.06650688865,298.107716785778,299.141930111972,298.323627055775,298.66006677801,299.765255667947,298.48959385265,298.204955569181
"21",297.785249051181,296.672956085205,298.261228110573,296.659466414018,297.84834726507,298.958976121382,297.256072581898,298.138943481445,299.533084869385,297.917613150857,298.032418823242,297.498918498646,297.002562713623,297.365321974321,298.748720966686,297.361450125954,297.985592304577,299.054534565319,297.760807800293,297.656857577237
"22",297.886006025834,296.110690723766,297.762535858154,296.255440729315,297.382152488015,298.863517553156,296.686162359064,297.966064938632,299.163734574751,297.388741025058,297.529798126221,297.208380473744,296.897455180775,296.97510584051,298.466952237216,296.621876525879,297.389254136519,298.811607222124,296.944573558461,297.309936662154
"23",298.218441217596,295.912533985485,297.787706340443,295.990364490856,297.64651371349,299.469329833984,296.858603668213,298.280220447887,299.720890391957,297.618678283691,297.936443953081,297.118293970281,297.158091597124,296.902134427157,298.881781699441,296.452437938343,297.652122913707,299.376878842441,297.080368319425,298.096386510676
"24",298.854485667836,296.007431099632,298.427575128729,296.390371079878,297.909779774059,299.909888735684,296.88032469316,298.734251819957,300.189781119607,297.672001856024,298.169074665416,297.489128182151,297.368385314941,297.375958876176,299.152183879506,296.515197823264,298.309620874578,299.885290457986,297.567182644931,298.384972520308
"25",299.020202983509,296.495569471879,298.595811393044,296.636016915061,298.333685372093,300.11904928034,297.317480121959,299.246865081787,300.488408036665,297.80007164695,298.62282929854,297.389005973122,297.237474614924,297.282200830633,299.581968342174,296.578058346835,298.808554632014,300.279888291792,297.681922496449,298.569134244052
"26",299.445811046254,297.043893640692,298.637087873979,297.0968549555,298.603514792702,300.067147202925,297.510198558461,299.314121385054,300.610909340598,298.110355793346,299.025375088778,297.634652501887,297.645543323864,297.476738669656,299.7063792142,297.102093367143,299.105496562611,300.104475333474,297.850174713135,298.800431754372
"27",299.768839818781,297.558991935036,298.718712754683,297.738388616388,298.996736283736,300.040511599454,298.195832477916,299.26853277033,300.532214355469,298.212629075484,299.108924380216,298.340155584162,297.822435968572,298.11804636175,299.769065093994,297.402569441362,299.278981156783,299.986083568226,298.192654210871,298.880418673429
"28",299.823848238858,298.26906377619,298.462718200684,298.311404280229,298.966811301491,299.802162794633,298.443860834295,299.25234707919,300.269112604315,298.530607119474,299.464401106401,298.826153633811,298.173525238037,298.742381841486,300.03589331887,297.559870355779,299.515994054621,299.842784881592,298.149309955944,298.93793258667
"29",300.212400263006,298.781194929643,298.516412977739,298.734672615745,299.330018685081,299.966917072643,298.994286970659,299.739408319647,300.187174918435,299.112856500799,299.745035899769,299.502445775812,298.614207944003,299.358906000311,300.256854594838,297.852548425848,299.68933466131,299.788407759233,298.800550218062,298.937233317982
"30",300.35825028853,299.257185987993,298.615014162931,299.016130620783,299.496992770108,299.129006819292,299.288204678622,299.634203962846,298.982032845237,299.379850630327,299.405396409468,299.73323766535,298.963337568803,299.764106750488,300.284670743075,298.143370125511,299.890751023726,299.311093902588,299.000999173251,298.887647316673
"31",300.055013691295,299.225718272816,298.040992320668,298.990693664551,299.171664983576,297.495076196844,298.981549488414,299.480566891757,297.61033595692,299.025403317538,298.885769237172,299.517224467884,299.026588925448,299.530532004616,300.309847467596,298.190938637473,299.428839250044,297.972178580544,298.36592760953,298.630920340798
"32",299.309258478338,298.523127122359,297.169379633123,298.059730321711,297.713313640248,295.463849778609,298.107423817028,298.276748449152,296.707315479625,298.058944910223,297.458987773548,298.526229234175,298.208009893244,298.961682753129,299.698342271285,297.853310394287,298.062282700972,297.130515497381,298.035421406139,297.776284651323
"33",297.68927119862,297.453414847634,296.502783549916,297.468275729093,297.107736899636,294.612405534224,297.07549459284,297.547289553556,295.866958964955,296.933594651656,296.661715004661,297.191713922674,297.035737817938,298.407037284157,298.597798156738,297.232219002464,296.894806254994,296.829506336559,296.840371565385,296.778934894909
