"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"12",295.969420554421,297.251041204279,297.109551724521,297.015333765203,297.383249803023,296.968626265092,296.66142390858,296.555393773859,297.302580053156,297.748254255815,297.774681715532,296.325049591064,297.834597223455,296.182253265381,298.058089308305
"13",296.246880548651,297.450977533514,297.338596621427,297.030075766824,297.500714458119,297.111618041992,297.06718118841,296.894769703258,297.250669722124,298.043099906228,297.852237077193,296.779687222567,297.930790016868,296.359945817427,298.183969185569
"14",296.831751736728,298.072996590354,297.885828260942,297.452935652299,297.848326249556,297.520195215399,297.513755937056,297.351714671742,297.511675747958,298.187890971791,298.038064367121,297.245498726585,298.324846441096,296.767241738059,298.248825281317
"15",297.287383200906,298.386497289484,298.328805472634,297.819195764715,298.315440854159,298.156205264005,298.150926694003,297.973927861994,298.212439311634,298.624251348322,298.427135120739,297.932215742631,298.655521046032,297.725345472856,298.587039600719
"16",298.083212835139,299.073604445024,298.804756719416,298.14749027599,298.849983492765,298.775896592574,298.634225186435,298.562624913996,298.372533694181,298.847795937278,299.093754022772,298.423581972989,298.90958480835,298.341947590221,299.133567948775
"17",298.604066536643,299.637801569158,299.093547127464,298.880371371183,299.373006786,299.275397214023,299.242719893022,298.950488003817,298.650890211626,299.332753129439,299.408355158026,298.914408805154,299.14517100941,298.573424807462,299.618082497337
"18",298.857784340598,299.782099845193,299.622794203325,299.136556521329,299.852778486772,299.62093928944,299.427071519331,299.423132462935,299.076325017756,299.887030306729,299.557672812722,299.431187647039,299.693619121205,299.091413047097,299.513007424094
"19",298.594577719949,299.782993802157,299.592060435902,299.012192327326,299.793969657204,298.940872816606,299.21361916282,299.281501700661,298.714431277188,299.563694555109,298.969788984819,299.444458423961,299.10553151911,298.983933604847,299.251643718373
"20",297.855901059237,299.294629738548,299.11759927923,298.343977355957,299.502803733132,298.244289814342,298.767378512296,298.108978410201,297.492751728405,298.285945614901,298.180380873247,299.156249930642,298.617526314475,298.140259898793,298.247217213024
"21",297.178138594194,298.409046450528,298.103485801003,297.504539073597,298.156622037021,297.205130767822,297.777855682373,297.391747908159,296.321411063454,297.74514132413,297.136128512296,298.89143669822,297.856236821955,297.114347145774,297.021064134078
