"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"2001",301.802314480868,302.931062663685,302.638724171032,300.39361114502,300.289683255282,299.522309112549,299.853661901301,300.369786765359,299.512739771063,300.515433640914,301.023235043612,302.159224146063,301.635959139737,301.620184603604,300.495072867654,299.689564444802,300.570906066895,301.816814283891,299.723941872337,299.311926893754,301.781872489236,300.575053960627,299.141165022417,301.889082267068,299.609302659468,301.80397755016,299.86417909102,299.665966103294,301.840966172652,299.796551374956,300.054545454545,301.607347661799,302.150568181818,303.034146395597,301.455232793635,302.228871016069,298.234472032027,302.01110125455,302.68602995439,302.054538449374
"2002",301.814449171586,303.159776236794,302.76970318881,300.063637126576,299.916498288241,299.393832536177,299.992462088845,300.454485806552,299.396812369607,300.49338795055,301.086917807839,302.141863389449,301.370500599254,301.649985920299,299.917810266668,299.389439253374,300.289794505726,301.605877962979,299.575683801824,298.699571990967,301.631215598366,300.484222550826,299.064015752619,301.793436501243,299.964729517156,301.815027063543,299.715404857289,299.465312819047,301.801083304665,299.531352233887,299.970170454545,301.069474653764,301.513352272727,303.193141867898,301.142928661,301.776257462935,298.360995275324,302.018506761031,302.409655206854,301.965194286
"2003",302.069829143177,303.506067934903,303.117559398304,300.141820942272,299.662492162531,299.488244004683,299.879169394753,300.218877133456,299.66462728327,300.377208709717,301.059844277122,302.763362884521,301.651391948353,301.816049124978,299.631569532915,299.24110585993,300.446261249889,301.806268657338,299.63740421642,298.470614207875,301.724652723833,300.412492856112,299.184277274392,301.842990805886,300.11612999656,301.857045468417,299.955835654519,299.712331459739,301.845326302268,299.316240414706,300.0875,301.354920127175,301.848295454545,303.453233198686,301.332864587957,302.065257540616,298.421424380216,302.437624289773,302.747276514227,302.367799724232
"2004",302.670490334251,303.566107593883,303.373728179932,300.712832641602,300.11752797907,299.523764592951,300.378001958674,300.337839646773,299.716714130748,300.649872797186,301.378959239613,303.19115115079,302.218849112771,302.103354367343,300.192303536155,299.618689519709,301.082801888206,302.402608073841,299.964972478693,299.28099268133,302.249639961936,300.476605710116,299.878398132324,302.271514753862,300.401558130438,302.221321036599,300.215499947288,300.330107532848,302.363948752663,299.659246340665,300.288636363636,301.50417320945,302.245170454545,303.78627166748,301.59727602872,302.487304340709,298.771826657382,302.888616665927,302.914180686257,302.833951499245
"2005",302.938324460116,303.912194130637,303.553294095126,301.190763300115,300.26255569458,300.218574940075,300.927070617676,300.396257019043,300.36676864624,300.452991069447,301.601860185103,303.243133198131,302.570231073553,302.145061284846,300.350345195423,300.266085468639,301.322335954146,302.42423435558,300.229644012451,299.921111020175,302.324892772328,300.762846651944,300.202564447576,302.664412203702,300.946825408936,302.241893005371,300.471407456832,300.471956842596,302.623279432817,300.447863145308,300.531818181818,301.364031427557,302.661363636364,303.792868041992,301.887067482688,302.876772724498,299.477248035778,303.133474315296,302.973449429599,303.194400856712
"2006",302.995050534335,303.794027085738,303.493865897439,301.550653769753,301.009928200462,300.577335981889,301.140654199774,300.408792669123,301.059647508101,300.893744728782,301.890946821733,303.359347811612,302.277379538796,302.167814497514,301.04470686479,300.833014401523,301.28712609031,302.468979436701,300.624292130904,300.149429598722,302.302864768288,300.864585252242,300.57980707342,302.657283089378,301.155121404474,302.31231620095,300.708742453835,301.043090057373,302.799747605757,300.948432367498,300.482386363636,301.621365633878,302.707386363636,303.882268732244,302.123866688121,302.904743749445,300.16289693659,303.175350952148,302.844890941273,303.063335696134
"2007",303.482757152211,303.868127163974,303.733694943515,301.872701124711,301.423052284934,301.089567912709,301.293830524791,300.740177501332,301.251769117876,301.257541170987,302.051250735196,303.386012337425,302.570998937433,302.299267855558,301.338671666926,301.103107729825,301.821477924694,302.708056709983,301.118211988969,300.853201293945,302.406822065874,301.057986588912,301.037829034979,302.460150077126,301.364313021573,302.279948009144,301.123547085849,301.27033032504,302.81775373979,301.285377710516,300.482670454545,302.105874703147,302.839488636364,303.792045801336,302.36152974909,302.997466000644,300.511574485085,303.097416617654,302.748194330389,303.158404887806
"2008",303.17544444691,303.745932076194,303.625550356778,302.132442405007,302.033767353405,301.691216416792,302.002781677246,301.572209514271,301.94264831543,301.495319505171,302.500517550382,303.409549851851,302.946807514537,302.474176233465,301.855373937433,301.714447715066,302.082821655273,302.70471905795,301.871139457009,301.673067543723,302.858422504772,301.788005343351,301.600602028587,302.605175226385,301.861725963246,302.392641795765,301.837023440274,301.996140705455,303.031963070956,301.862808435613,301.304261363636,302.43031761863,302.759090909091,303.778647405451,302.878428441828,303.054632984508,301.234104919434,303.205688060414,303.010894844749,303.074574141069
"2009",303.103280986439,303.427409224077,303.453574440696,302.590752618963,302.451283402876,302.129837174849,302.337264251709,302.305137010054,302.316653373025,302.15428348888,302.529218361594,303.39115115079,303.272054637562,302.939455136386,302.349615964023,302.105222459273,302.712707103382,302.775792624734,302.339141429554,302.24472767223,303.314526020397,302.208570098877,301.873932994496,302.841647200151,302.396839211204,302.851463942094,302.318596926602,302.323446447199,303.189703715931,302.2913230896,301.669318181818,302.63447154652,302.717329545455,303.669021953236,303.321260278875,303.505087072199,301.589493699507,303.215194216642,303.217671966553,303.493854730779
"2010",302.482409321178,303.208735934171,303.133262218129,302.638139273904,302.658426874334,302.414315518466,302.673890824751,302.125355945934,302.443659487638,302.37246724909,302.890831756592,303.025866144354,303.136441248113,302.750010126287,302.139383766868,302.422313967618,302.748439650102,303.099577262185,302.647005185214,302.407157620517,303.495386088978,302.576930722323,302.243281971325,302.725771470503,302.541219537908,302.553025540439,302.68437909213,302.614222231778,303.045778101141,302.553762054443,301.419318181818,302.464017139782,302.750284090909,303.570019947399,303.262171936035,303.314217237993,302.224291437322,303.244911679355,302.815948278254,303.45523445823
"2011",301.666586442427,302.788048761541,302.043802296032,302.626012767445,302.516364565763,302.104841266979,302.369891773571,301.453147125244,302.516352705522,301.817062794078,302.724684143066,302.214274943959,302.982955793901,301.607012870095,300.777400415594,301.558723935214,302.735668321089,302.439427185059,302.630406882546,302.372743641246,303.472373476895,302.302972273393,301.943072301691,302.479211148349,302.439903051203,301.357227533514,302.427914498069,302.332256733287,302.171652360396,302.571937352961,299.982102272727,301.416014099121,301.767329545455,302.902068120783,303.105476656827,303.28961909901,301.653254075484,302.659827423096,301.809346216375,303.010831867565
